course_code,mod_code,requirement
1,CSY1061,compulsory
1,CSY1062,compulsory
1,CSY1063,compulsory
1,CSY1064,compulsory
1,CSY1020,compulsory
1,CSY1060,compulsory
1,CSY2092,compulsory
1,CSY2087,compulsory
1,CSY2088,compulsory
1,CSY2089,compulsory
1,CSY2080,compulsory
1,CSY2094,compulsory
1,CSY3058,compulsory
1,CSY3062,compulsory
1,CSY3059,compulsory
1,CSY3060,compulsory
1,CSY4022,compulsory
2,CSY1061,compulsory
2,CSY1062,compulsory
2,CSY1063,compulsory
2,CSY1064,compulsory
2,CSY1020,compulsory
2,CSY1060,compulsory
2,CSY2081,compulsory
2,CSY2087,compulsory
2,CSY2088,compulsory
2,CSY2089,compulsory
2,CSY2080,compulsory
2,CSY2082,compulsory
2,CSY3058,compulsory
2,CSY3055,compulsory
2,CSY3059,compulsory
2,CSY3060,compulsory
2,CSY4022,compulsory
3,CSY1061,compulsory
3,CSY1062,compulsory
3,CSY1063,compulsory
3,CSY1064,compulsory
3,CSY1020,compulsory
3,CSY1065,compulsory
3,CSY2091,compulsory
3,CSY2087,compulsory
3,CSY2088,compulsory
3,CSY2089,compulsory
3,CSY2093,compulsory
3,CSY2094,compulsory
3,CSY3056,compulsory
3,CSY3065,compulsory
3,CSY3059,compulsory
3,CSY3060,compulsory
3,CSY4022,compulsory
4,CSY1061,compulsory
4,CSY1062,compulsory
4,CSY1063,compulsory
4,CSY1064,compulsory
4,CSY1020,compulsory
4,CSY1065,compulsory
4,CSY2091,compulsory
4,CSY2084,compulsory
4,CSY2088,compulsory
4,CSY2089,compulsory
4,CSY2093,compulsory
4,CSY2085,compulsory
4,CSY3062,compulsory
4,CSY3057,compulsory
4,CSY3059,compulsory
4,CSY3063,compulsory
4,CSY4022,compulsory
5,CSY1061,compulsory
5,CSY1030,compulsory
5,CSY1063,compulsory
5,CSY1064,compulsory
5,CSY1020,compulsory
5,CSY1065,compulsory
5,CSY2042,compulsory
5,CSY2041,compulsory
5,CSY2088,compulsory
5,CSY2089,compulsory
5,CSY2093,compulsory
5,CSY2094,designated
5,CSY2043,designated
5,CSY3037,compulsory
5,CSY3058,designated
5,CSY3062,designated
5,CSY3059,compulsory
5,CSY3034,compulsory
5,CSY4022,compulsory
6,CSY1061,compulsory
6,CSY1062,compulsory
6,CSY1063,compulsory
6,CSY1064,compulsory
6,CSY1020,compulsory
6,CSY1060,compulsory
6,CSY2081,compulsory
6,CSY2086,compulsory
6,CSY2088,compulsory
6,CSY2090,compulsory
6,CSY2091,compulsory
6,CSY2083,compulsory
6,CSY3061,compulsory
6,CSY3062,compulsory
6,CSY3063,compulsory
6,CSY3060,compulsory
6,CSY4022,compulsory
7,CSY1043,compulsory
7,ENG1050,compulsory
7,ENG1051,compulsory
7,ENG1070,compulsory
7,CSY1020,designated
7,CSY1062,compulsory
7,ENG1048,designated
7,CSY2090,compulsory
7,CSY2091,designated
7,CSY2092,designated
7,CSY2082,compulsory
7,ENG2045,compulsory
7,ENG2051,compulsory
7,ENG2065,compulsory
7,ENG4004,compulsory
7,CSY3060,compulsory
7,ENG3020,compulsory
7,CSY3064,designated
7,CSY3063,designated